Bedrooms,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
2.0,"Pragathi Nagar, Kukatpally",72000,Semi-Furnished,2.0,Bachelors,From Mar '26,1050.0,carpet-area,1.0,5.0,East,3
2.0,Masab Tank,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,North,3
2.0,"Prajay City, Hafeezpet",72000,Unfurnished,1.0,Bachelors,Immediately,550.0,carpet-area,4.0,4.0,West,3
3.0,Asif Nagar,72000,Furnished,2.0,Bachelors,Immediately,1200.0,carpet-area,1.0,5.0,North,3
3.0,"Somajiguda, NH 9",72000,Unfurnished,2.0,Bachelors/Family,Immediately,1550.0,super-area,1.0,7.0,,3
3.0,"Kukatpally, NH 9",72000,Semi-Furnished,3.0,Bachelors,Immediately,1740.0,carpet-area,,,East,3
2.0,Gachibowli,72000,Semi-Furnished,2.0,Bachelors,Immediately,940.0,carpet-area,1.0,18.0,East,3
4.0,"Kokapet, Outer Ring Road",72000,Semi-Furnished,5.0,Bachelors/Family,Immediately,3400.0,super-area,13.0,15.0,,3
4.0,Nalagandla,72000,Semi-Furnished,4.0,Bachelors,Immediately,2660.0,super-area,17.0,25.0,East,3
2.0,"Narsingi, Outer Ring Road",72000,Furnished,2.0,Bachelors,Immediately,960.0,carpet-area,2.0,5.0,West,3
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,From Apr '26,1695.0,super-area,12.0,12.0,West,3
,"Alkapur Township, Manikonda, Outer Ring Road",72000,,,Bachelors/Family,Immediately,,,,,,3
2.0,Gajularamaram,72000,Semi-Furnished,2.0,Bachelors,Immediately,1050.0,super-area,1.0,5.0,West,3
2.0,"Bollaram, Outer Ring Road",72000,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,1185.0,super-area,4.0,6.0,,3
5.0,Jubilee Hills,72000,Unfurnished,5.0,Bachelors/Family,Immediately,3500.0,super-area,6.0,6.0,,3
3.0,Patancheruvu,72000,Unfurnished,3.0,Bachelors/Family,Immediately,1585.0,super-area,11.0,14.0,,3
2.0,"Viharika Colony, Peerzadiguda",72000,Unfurnished,2.0,Bachelors/Family,Immediately,1117.0,carpet-area,3.0,5.0,East,3
3.0,Gunrock Enclave-Karimnagar Highway,72000,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,1.0,2.0,,3
2.0,Manikonda Jagir,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,2.0,5.0,East,3
3.0,Maheshwaram,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1250.0,carpet-area,2.0,5.0,East,3
1.0,"Suraram Village, Suraram",72000,Unfurnished,1.0,Bachelors/Family,Immediately,550.0,carpet-area,2.0,4.0,,4
2.0,Hyderabad,72000,Semi-Furnished,2.0,Bachelors,Immediately,1200.0,carpet-area,10.0,13.0,East,4
3.0,Nalagandla,72000,Semi-Furnished,2.0,Bachelors,Immediately,1016.0,carpet-area,10.0,24.0,East,4
2.0,Lalaguda Mettuguda,72000,Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,2.0,5.0,West,4
3.0,"Tellapur, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,2083.0,super-area,4.0,9.0,East,4
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,2660.0,super-area,,3.0,East,4
3.0,"Narsingi, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors,Immediately,2125.0,super-area,18.0,31.0,West,4
3.0,Power Welfare Society,72000,Furnished,3.0,Bachelors/Family,Immediately,1796.0,carpet-area,24.0,30.0,East,4
3.0,Kondapur,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1500.0,carpet-area,5.0,19.0,West,4
1.0,Kondapur,72000,Unfurnished,1.0,Bachelors/Family,Immediately,550.0,carpet-area,2.0,4.0,North,4
3.0,Kukatpally Housing Board Road,72000,Semi-Furnished,2.0,Bachelors,Immediately,1415.0,carpet-area,3.0,5.0,North,4
3.0,Kharmanghat,72000,,3.0,Family,Immediately,1450.0,carpet-area,2.0,4.0,East,4
3.0,"Pocharam, NH 2 2",72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1210.0,carpet-area,,,West,4
3.0,Nallagandla Tellapur Road,72000,Semi-Furnished,2.0,Bachelors,From Jan '35,1605.0,super-area,11.0,24.0,West,4
1.0,"Yellamma Banda, Jagadgiri Gutta",72000,Semi-Furnished,1.0,Bachelors,Immediately,600.0,super-area,2.0,3.0,,4
3.0,"Kollur, Outer Ring Road",72000,Furnished,3.0,Family,Immediately,1600.0,carpet-area,3.0,8.0,East,4
3.0,Adibatla,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,super-area,2.0,6.0,,4
2.0,Medipally,72000,Unfurnished,2.0,Bachelors,Immediately,90.0,carpet-area,2.0,3.0,South,4
