Bedrooms,Location,Price,sSecurity Deposit,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
2.0,Gachibowli,28000.0,yes,Furnished,2.0,Bachelors,Immediately,1260.0,super-area,4.0,20.0,North - East,8
3.0,"Pragathi Nagar, Kukatpally",18000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1500.0,super-area,1.0,4.0,East,8
2.0,"Chilkanagar, Secunderabad",14999.0,no,Furnished,1.0,Bachelors/Family,Immediately,1100.0,super-area,1.0,3.0,North - East,8
2.0,"Pocharam, NH 2 2",25000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,5.0,14.0,West,8
2.0,Himayatnagar,30000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,900.0,carpet-area,1.0,3.0,East,8
3.0,"Narsingi, Outer Ring Road",60000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1540.0,super-area,23.0,40.0,West,8
3.0,Rajendranagar Mandal,45000.0,no,Furnished,2.0,Family,Immediately,1316.0,carpet-area,9.0,10.0,West,8
4.0,"Uppal, NH 2 2",70000.0,no,Semi-Furnished,4.0,Bachelors/Family,Immediately,2988.0,super-area,6.0,24.0,,8
,"Narsingi, Outer Ring Road",75000.0,no,Furnished,4.0,Bachelors,Immediately,3128.0,carpet-area,5.0,5.0,West,8
3.0,Kondapur,42000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,1450.0,super-area,2.0,4.0,,8
3.0,Hyderabad,75000.0,no,Furnished,3.0,Bachelors/Family,Immediately,2452.0,carpet-area,1.0,5.0,,8
3.0,"Kavuri Hills, Madhapur",150000.0,yes,Furnished,3.0,Bachelors,Immediately,2800.0,carpet-area,2.0,5.0,North,8
3.0,Jubilee Hills,60000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1300.0,carpet-area,2.0,4.0,North,8
2.0,Rajendranagar Mandal,12000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,945.0,super-area,3.0,4.0,,8
2.0,Mythri Nagar Madeenaguda,60000.0,no,Unfurnished,2.0,Bachelors,Immediately,2630.0,carpet-area,6.0,6.0,East,8
2.0,Yapral,20000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1300.0,carpet-area,1.0,5.0,North,8
1.0,Kondapur,25000.0,yes,Furnished,1.0,Bachelors,Immediately,600.0,carpet-area,4.0,5.0,East,8
3.0,Kompally,22000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1215.0,carpet-area,3.0,5.0,,8
1.0,Kondapur,22000.0,yes,Furnished,1.0,Bachelors,Immediately,550.0,carpet-area,3.0,5.0,East,8
1.0,Sri Ram Nagar Kondapur,19000.0,yes,Semi-Furnished,1.0,Bachelors/Family,Immediately,450.0,carpet-area,3.0,5.0,North - East,8
3.0,Toli Chowki,29400.0,no,Unfurnished,3.0,Bachelors,Immediately,1420.0,super-area,3.0,7.0,East,8
3.0,"Kokapet, Outer Ring Road",72000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1479.0,carpet-area,30.0,31.0,East,8
1.0,Hyderabad,15000.0,no,Semi-Furnished,1.0,Bachelors/Family,Immediately,900.0,super-area,4.0,4.0,,8
2.0,APHB Colony Gachibowli,50000.0,yes,Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,4.0,4.0,East,8
1.0,Vijaya Nagar Colony,26000.0,no,Furnished,1.0,Bachelors,Immediately,640.0,super-area,1.0,3.0,,8
2.0,"Kukatpally, NH 9",25000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1150.0,carpet-area,5.0,5.0,West,8
2.0,Silpa Park,50000.0,no,Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,2.0,5.0,,8
3.0,Gachibowli,110000.00000000001,yes,Furnished,5.0,Bachelors,Immediately,2531.0,carpet-area,9.0,9.0,West,8
2.0,"Pragathi Nagar, Kukatpally",18000.0,yes,Unfurnished,2.0,Bachelors,Immediately,800.0,carpet-area,5.0,5.0,North,8
4.0,Gachibowli,110000.00000000001,no,Semi-Furnished,5.0,Bachelors/Family,Immediately,3500.0,carpet-area,3.0,14.0,East,8
3.0,"Kokapet, Outer Ring Road",55000.0,no,Semi-Furnished,3.0,Bachelors,Immediately,2615.0,carpet-area,0.0,20.0,East,9
2.0,Gachibowli,24000.0,yes,Furnished,2.0,Bachelors,Immediately,1280.0,carpet-area,4.0,8.0,East,9
3.0,Nalagandla,60000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1960.0,super-area,4.0,14.0,,9
2.0,"Banjara Hills, NH 9",45000.0,yes,Furnished,2.0,Bachelors,Immediately,1275.0,carpet-area,4.0,5.0,West,9
3.0,Sultan Bazar,12500.0,no,Semi-Furnished,2.0,Bachelors,Immediately,600.0,carpet-area,3.0,5.0,,9
3.0,Yapral,28000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1580.0,super-area,5.0,5.0,,9
3.0,Radha Krishna Nagar Attapur,59480.0,no,Semi-Furnished,3.0,Bachelors,Immediately,2135.0,super-area,4.0,10.0,West,9
4.0,Kondapur,210000.0,yes,Semi-Furnished,4.0,Bachelors,Immediately,4095.0,super-area,7.0,19.0,East,9
3.0,"Banjara Hills, NH 9",80000.0,yes,Furnished,3.0,Bachelors,Immediately,3100.0,carpet-area,1.0,4.0,,9
2.0,Hyderabad,22000.0,no,Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,,9
3.0,Kondapur,42000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1500.0,carpet-area,4.0,5.0,East,9
2.0,"Bolarum, Medchal Road",10000.0,no,Unfurnished,2.0,Family,Immediately,900.0,super-area,3.0,4.0,West,9
3.0,"Kokapet, Outer Ring Road",60000.0,yes,Semi-Furnished,4.0,Family,Immediately,2100.0,carpet-area,3.0,19.0,West,9
3.0,"Kokapet, Outer Ring Road",70000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1300.0,carpet-area,20.0,36.0,East,9
3.0,Sainikpuri,13000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1260.0,carpet-area,1.0,4.0,,9
1.0,Kondapur,25000.0,yes,Furnished,1.0,Bachelors/Family,Immediately,510.0,carpet-area,5.0,6.0,East,9
3.0,Nalagandla,58000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,11.0,15.0,,9
1.0,Manikonda Jagir,20000.0,no,Unfurnished,1.0,Bachelors/Family,Immediately,465.0,super-area,1.0,6.0,,9
3.0,Khajaguda,60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1384.0,carpet-area,12.0,13.0,North - East,9
3.0,Kalapuram Basti,33000.0,yes,Semi-Furnished,4.0,Bachelors/Family,Immediately,1600.0,carpet-area,1.0,4.0,East,9
2.0,"Kukatpally, NH 9",13000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,900.0,super-area,3.0,5.0,,9
3.0,Bandlaguda Jagir,30000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,2.0,2.0,,9
3.0,Raji Reddy Nagar New Santoshnagar,14500.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1350.0,super-area,1.0,2.0,,9
3.0,Bandari Layout,18500.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1400.0,super-area,4.0,5.0,North,9
3.0,"Alkapur Township, Manikonda, Outer Ring Road",60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1702.0,super-area,1.0,6.0,,9
2.0,Hyderabad,20000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,3.0,3.0,,9
3.0,"Kokapet, Outer Ring Road",80000.0,yes,Furnished,3.0,Bachelors,Immediately,2105.0,super-area,11.0,14.0,East,9
3.0,Kompally,42000.0,no,Semi-Furnished,3.0,Bachelors/Family,From Apr '26,1815.0,super-area,5.0,5.0,,9
3.0,Nanakaramguda,75000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1710.0,super-area,13.0,24.0,,9
2.0,Borabanda,25000.0,no,Semi-Furnished,3.0,Bachelors,Immediately,1150.0,carpet-area,2.0,3.0,East,10
3.0,"Gulmohar Park Colony, Serilingampally",55000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1900.0,carpet-area,15.0,22.0,East,10
3.0,"Miyapur, NH 9",50000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1925.0,super-area,11.0,14.0,West,10
2.0,Kukatpally Housing Board Road,20000.0,no,Unfurnished,2.0,Bachelors,Immediately,1000.0,super-area,3.0,3.0,West,10
2.0,Hastinapuram,13000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1250.0,carpet-area,2.0,3.0,East,10
4.0,Hitech City,380000.0,no,Furnished,4.0,Bachelors/Family,Immediately,4070.0,carpet-area,14.0,35.0,East,10
,Kondapur,18000.0,yes,Furnished,1.0,Bachelors/Family,Immediately,365.0,super-area,2.0,5.0,East,10
3.0,Kondapur,91000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2290.0,super-area,9.0,25.0,East,10
3.0,Nalagandla,43000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1019.0,carpet-area,2.0,22.0,East,10
3.0,"Narsingi, Outer Ring Road",60000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1760.0,carpet-area,15.0,28.0,,10
3.0,Kondapur,80000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2020.0,super-area,9.0,20.0,East,10
3.0,Kondapur,130000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2215.0,super-area,12.0,20.0,West,10
3.0,"Ghatkesar, NH 2 2",16000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1599.0,super-area,5.0,9.0,South,10
3.0,Kondapur,40000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1500.0,carpet-area,5.0,5.0,East,10
3.0,"Narsingi, Outer Ring Road",90000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2660.0,super-area,31.0,39.0,East,10
3.0,"Mallampet, Outer Ring Road",32000.0,yes,Furnished,3.0,Bachelors,Immediately,1377.0,super-area,2.0,5.0,East,10
3.0,Hyderabad,70000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1882.0,super-area,16.0,30.0,,10
2.0,Venkateswara Colony Banjara Hills,30000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,2000.0,super-area,2.0,4.0,,10
1.0,Raghavendra Colony Kondapur,15000.0,yes,Semi-Furnished,1.0,Bachelors/Family,Immediately,800.0,carpet-area,1.0,3.0,,10
3.0,Alkapoor,65000.0,no,Semi-Furnished,3.0,Bachelors,Immediately,1890.0,carpet-area,2.0,5.0,,10
3.0,Hyderabad,60000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,1850.0,super-area,2.0,5.0,,10
3.0,Bachupally,27000.0,no,Semi-Furnished,3.0,Bachelors,From Mar '26,1600.0,carpet-area,1.0,5.0,,10
3.0,"Narsingi, Outer Ring Road",65000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1715.0,super-area,14.0,39.0,West,10
3.0,"Kokapet, Outer Ring Road",79000.0,yes,Semi-Furnished,3.0,Family,Immediately,2124.0,super-area,30.0,34.0,West,10
3.0,"Narsingi, Outer Ring Road",76000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2335.0,super-area,33.0,39.0,East,10
3.0,"Tellapur, Outer Ring Road",60000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1926.0,super-area,18.0,39.0,East,10
3.0,"Ghatkesar, NH 2 2",16000.0,yes,Furnished,3.0,Bachelors,Immediately,1360.0,carpet-area,3.0,7.0,East,10
4.0,Masab Tank,250000.0,no,Semi-Furnished,5.0,Bachelors/Family,Immediately,2200.0,carpet-area,5.0,7.0,,10
3.0,"Financial District, Nanakram Guda",90000.0,yes,Furnished,3.0,Bachelors,Immediately,2800.0,carpet-area,4.0,9.0,West,10
3.0,Kondapur,42000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1600.0,carpet-area,1.0,5.0,West,10
3.0,Izzathnagar,95000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1408.0,carpet-area,37.0,42.0,West,11
3.0,"Narsingi, Outer Ring Road",76000.0,yes,Semi-Furnished,3.0,Family,Immediately,2020.0,super-area,26.0,35.0,East,11
3.0,"Tellapur, Outer Ring Road",45000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1505.0,super-area,21.0,29.0,,11
2.0,Nanakaramguda,35000.0,no,Furnished,2.0,Bachelors/Family,Immediately,850.0,super-area,23.0,24.0,,11
3.0,Hyderabad,62000.0,no,Furnished,3.0,Bachelors/Family,Immediately,2045.0,carpet-area,7.0,15.0,,11
3.0,Madhapur,37000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1350.0,carpet-area,3.0,6.0,West,11
3.0,Gachibowli,75000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2020.0,super-area,20.0,39.0,West,11
3.0,Gachibowli,75000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2020.0,super-area,20.0,39.0,West,11
2.0,Masab Tank,18000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,super-area,4.0,5.0,,11
3.0,Peeramcheru,38000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,3.0,5.0,West,11
2.0,"Chintal Basti, Secunderabad",10500.0,yes,Unfurnished,3.0,Bachelors/Family,Immediately,1000.0,carpet-area,2.0,4.0,North - East,11
3.0,"Narsingi, Outer Ring Road",75000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2335.0,super-area,24.0,39.0,East,11
3.0,Kompally,29000.0,yes,Semi-Furnished,2.0,Bachelors,From Apr '26,1200.0,carpet-area,1.0,5.0,West,11
2.0,Mothi Nagar Borabanda,24500.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,850.0,carpet-area,5.0,5.0,West,11
2.0,"Miyapur, NH 9",29000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1211.0,carpet-area,0.0,8.0,West,11
1.0,Nagole,9000.0,yes,Unfurnished,1.0,Bachelors/Family,Immediately,545.0,super-area,9.0,9.0,,11
3.0,Nalagandla,55000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1560.0,super-area,5.0,25.0,East,11
2.0,Ashok Nagar Himayatnagar,22500.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1050.0,carpet-area,2.0,4.0,,11
4.0,Kondapur,100000.0,no,Semi-Furnished,6.0,Bachelors/Family,Immediately,2965.0,super-area,8.0,11.0,,11
3.0,Nanakaramguda,70000.0,yes,Furnished,3.0,Bachelors,Immediately,2160.0,carpet-area,6.0,26.0,North - West,11
3.0,Nalagandla,65000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1212.0,carpet-area,23.0,26.0,South,11
4.0,Begumpet,75000.0,no,Furnished,3.0,Bachelors/Family,Immediately,2700.0,carpet-area,3.0,5.0,,11
3.0,Gachibowli,120000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1451.0,carpet-area,15.0,30.0,South,11
3.0,Kondapur,65000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1766.0,super-area,4.0,10.0,,11
3.0,Kavuri Hills Madhapur,62000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,1500.0,carpet-area,3.0,5.0,,11
2.0,Kistareddypet,11000.0,no,Semi-Furnished,2.0,Family,Immediately,1110.0,super-area,2.0,5.0,East,11
2.0,"Narsingi, Outer Ring Road",50000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1375.0,carpet-area,,15.0,East,11
3.0,Hyderabad,40000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1250.0,carpet-area,0.0,14.0,East,11
2.0,"Saroornagar, NH 9",15000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1080.0,super-area,2.0,4.0,East,11
2.0,Bachupally,30000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,700.0,carpet-area,7.0,33.0,East,11
2.0,"Uppal, NH 2 2",20000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,3.0,3.0,,12
2.0,"Kukatpally, NH 9",24000.0,yes,Unfurnished,2.0,Bachelors,Immediately,1200.0,carpet-area,2.0,4.0,North,12
3.0,"Financial District, Nanakram Guda",45000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1300.0,carpet-area,17.0,25.0,North,12
3.0,Kompally,42000.0,yes,Semi-Furnished,3.0,Bachelors/Family,From Apr '26,1815.0,super-area,5.0,5.0,,12
3.0,Puppalguda,60000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1722.0,super-area,1.0,5.0,,12
3.0,"Narsingi, Outer Ring Road",60000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1715.0,super-area,21.0,39.0,West,12
3.0,"Patrika Nagar, Hitech City",42000.0,yes,Unfurnished,3.0,Bachelors/Family,From Mar '26,1800.0,carpet-area,4.0,5.0,East,12
2.0,Shaikpet,21500.0,no,Unfurnished,2.0,Bachelors,Immediately,950.0,carpet-area,4.0,6.0,East,12
3.0,Phase 4 KPHB,30000.0,no,Semi-Furnished,2.0,Bachelors/Family,From May '26,1101.0,carpet-area,3.0,5.0,West,12
3.0,Kondapur,63000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,1900.0,carpet-area,4.0,4.0,North - East,12
2.0,Kushaiguda,10000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,2.0,3.0,North,12
3.0,Gopanpalle,60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1850.0,super-area,2.0,5.0,,12
4.0,Gachibowli,60000.0,yes,Unfurnished,3.0,Bachelors/Family,Immediately,2600.0,carpet-area,1.0,12.0,West,12
5.0,Jubilee Hills,110000.00000000001,no,Semi-Furnished,5.0,Bachelors/Family,Immediately,4050.0,super-area,3.0,5.0,,12
3.0,Sainikpuri,20000.0,yes,Unfurnished,3.0,Bachelors/Family,Immediately,1500.0,carpet-area,2.0,5.0,East,12
1.0,Miyapur Road,15000.0,no,Unfurnished,1.0,Bachelors,Immediately,750.0,carpet-area,1.0,2.0,North,12
3.0,Manikonda Jagir,80000.0,yes,Furnished,4.0,Bachelors/Family,Immediately,2600.0,carpet-area,11.0,32.0,,12
4.0,Hitech City,150000.0,yes,Semi-Furnished,4.0,Bachelors,Immediately,3347.0,super-area,0.0,12.0,West,12
4.0,Jubilee Hills,210000.0,no,Unfurnished,4.0,Bachelors,Immediately,4127.0,carpet-area,1.0,8.0,North - East,12
3.0,Kothaguda,85000.0,no,Furnished,3.0,Bachelors/Family,Immediately,2813.0,super-area,6.0,7.0,,12
2.0,"Miyapur, NH 9",42000.0,yes,Furnished,2.0,Family,Immediately,1245.0,carpet-area,1.0,14.0,North - East,12
3.0,"Kokapet, Outer Ring Road",61000.0,yes,Semi-Furnished,3.0,Family,Immediately,2100.0,carpet-area,3.0,19.0,West,12
1.0,Madhapur,14000.0,yes,Furnished,1.0,Bachelors,Immediately,710.0,carpet-area,6.0,13.0,North - East,12
3.0,Himayatnagar,70000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,1300.0,super-area,2.0,6.0,,12
2.0,Gachibowli,34000.0,yes,Furnished,2.0,Bachelors,Immediately,750.0,carpet-area,4.0,4.0,North,12
2.0,Chanda Nagar,34000.0,no,Unfurnished,2.0,Bachelors,Immediately,1112.0,carpet-area,7.0,12.0,West,12
3.0,"Narsingi, Outer Ring Road",70000.0,yes,Semi-Furnished,3.0,Family,Immediately,1750.0,carpet-area,12.0,30.0,East,12
3.0,Hyderabad,60000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,13.0,24.0,,12
3.0,"Kokapet, Outer Ring Road",65000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2250.0,carpet-area,2.0,19.0,West,12
3.0,Bachupally,36000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,2064.0,carpet-area,4.0,5.0,North,12
3.0,"Tellapur, Outer Ring Road",65000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1926.0,super-area,12.0,39.0,West,13
3.0,"Narsingi, Outer Ring Road",75000.0,yes,Semi-Furnished,3.0,Family,Immediately,1950.0,carpet-area,10.0,30.0,West,13
3.0,"Miyapur, NH 9",27000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1327.0,super-area,1.0,5.0,East,13
2.0,Adikmet,13000.0,yes,Unfurnished,2.0,Bachelors,Immediately,830.0,carpet-area,4.0,4.0,East,13
3.0,Nalagandla,65000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2400.0,super-area,6.0,24.0,East,13
3.0,Kondapur,110000.00000000001,yes,Semi-Furnished,3.0,Bachelors,From Apr '26,2625.0,super-area,9.0,20.0,North,13
2.0,Srivani Nagar,18000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,900.0,super-area,1.0,3.0,East,13
3.0,"Tellapur, Outer Ring Road",55000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1573.0,super-area,14.0,39.0,East,13
3.0,Shaikpet,60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1875.0,super-area,10.0,23.0,,13
3.0,Hyderabad,90000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,2530.0,super-area,0.0,23.0,,13
3.0,Gachibowli,74000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1920.0,super-area,19.0,29.0,East,13
2.0,"Sun City, Bandlaguda, Chevella Road",16000.0,yes,Unfurnished,1.0,Bachelors/Family,Immediately,1300.0,carpet-area,1.0,3.0,North - East,13
1.0,Kondapur,25000.0,yes,Furnished,1.0,Bachelors/Family,Immediately,460.0,carpet-area,2.0,6.0,East,13
2.0,"Alkapur Township, Manikonda, Outer Ring Road",17000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,1.0,5.0,,13
3.0,Gachibowli,75000.0,yes,Semi-Furnished,3.0,Family,Immediately,1741.0,carpet-area,15.0,20.0,West,13
1.0,Begumpet,17500.0,yes,Semi-Furnished,1.0,Bachelors,Immediately,700.0,carpet-area,1.0,2.0,North - West,13
2.0,Nizampet,17000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,950.0,super-area,2.0,5.0,,13
2.0,Shaikpet,26000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1120.0,carpet-area,3.0,5.0,East,13
3.0,Ameerpet,60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,2100.0,super-area,5.0,5.0,West,13
4.0,Kondapur,200000.0,yes,Semi-Furnished,5.0,Bachelors,Immediately,3420.0,super-area,4.0,20.0,West,13
3.0,Gachibowli,75000.0,yes,Semi-Furnished,4.0,Bachelors,Immediately,2440.0,super-area,5.0,14.0,East,13
3.0,Kondapur,65000.0,yes,Unfurnished,3.0,Bachelors,Immediately,1955.0,super-area,10.0,19.0,East,13
3.0,Alkapoor,28000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1650.0,carpet-area,2.0,5.0,West,13
3.0,Puppalguda,65000.0,yes,Unfurnished,3.0,Bachelors,Immediately,2300.0,super-area,5.0,14.0,East,13
2.0,"Old Malakpet, NH 9",13500.0,yes,Unfurnished,2.0,Bachelors,Immediately,970.0,carpet-area,2.0,3.0,West,13
3.0,Hyderabad,65000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1850.0,carpet-area,3.0,4.0,East,13
4.0,Gachibowli,60000.0,no,Semi-Furnished,4.0,Bachelors/Family,Immediately,2600.0,super-area,14.0,14.0,,13
3.0,Beeramguda Ramachandrapuram,26000.0,yes,Semi-Furnished,3.0,Family,Immediately,1241.0,carpet-area,5.0,5.0,East,13
2.0,Almasguda,15000.0,no,Semi-Furnished,2.0,Family,Immediately,1000.0,super-area,3.0,4.0,East,13
2.0,New Malakpet,17000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,850.0,super-area,3.0,6.0,,13
3.0,"Pocharam, NH 2 2",15000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1360.0,super-area,4.0,7.0,,14
3.0,"Pocharam, NH 2 2",25000.0,no,Furnished,2.0,Bachelors/Family,Immediately,1475.0,carpet-area,7.0,15.0,,14
3.0,"Banjara Hills, NH 9",100000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2300.0,super-area,5.0,5.0,,14
3.0,"Tellapur, Outer Ring Road",55000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1573.0,super-area,33.0,39.0,,14
3.0,"Hafeezpet, NH 9",50000.0,yes,Unfurnished,3.0,Bachelors,Immediately,1800.0,super-area,12.0,14.0,West,14
2.0,Hyderabad,25000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1111.0,super-area,4.0,9.0,,14
3.0,Happy Homes Colony Expressway,24999.0,yes,Unfurnished,2.0,Bachelors/Family,Immediately,1550.0,super-area,5.0,6.0,East,14
3.0,Madhapur,65000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,2600.0,carpet-area,2.0,9.0,,14
3.0,Kondapur,65000.0,yes,Unfurnished,3.0,Bachelors,Immediately,3000.0,carpet-area,7.0,7.0,North,14
2.0,Hyderabad,16000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,940.0,carpet-area,3.0,5.0,,14
3.0,OU Colony Shaikpet,22000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1600.0,carpet-area,2.0,6.0,,14
2.0,"Hafeezpet, NH 9",18000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,800.0,super-area,3.0,4.0,,14
3.0,Kondapur,65000.0,yes,Semi-Furnished,3.0,Family,Immediately,1850.0,carpet-area,19.0,36.0,East,14
3.0,Puppalguda,32000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,East,14
3.0,"Narsingi, Outer Ring Road",85000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,2000.0,carpet-area,11.0,29.0,East,14
4.0,Secunderabad,16000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,920.0,super-area,1.0,3.0,,14
1.0,"Miyapur, NH 9",14000.0,no,Furnished,1.0,Bachelors/Family,Immediately,750.0,carpet-area,1.0,1.0,,14
2.0,Bachupally,35000.0,no,Furnished,2.0,Bachelors,Immediately,1110.0,super-area,20.0,33.0,West,14
2.0,Kompally,23000.0,no,Furnished,2.0,Bachelors/Family,Immediately,1240.0,super-area,5.0,5.0,,14
3.0,"Hafeezpet, NH 9",45000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2000.0,super-area,1.0,14.0,West,14
3.0,"Financial District, Nanakram Guda",90000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,2900.0,super-area,4.0,9.0,,14
3.0,Kondapur,80000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,2595.0,super-area,18.0,26.0,West,14
3.0,"Kokapet, Outer Ring Road",80000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1250.0,carpet-area,4.0,35.0,East,14
2.0,"Uppal, NH 2 2",16000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,2.0,5.0,,14
2.0,Gandhinagar Aliabad,370000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1085.0,super-area,1.0,4.0,,14
2.0,Kakatiya Nagar Ramachandrapuram,8000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,500.0,super-area,1.0,4.0,,14
