Title,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Description,Page Number
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1326,carpet-area,10,39,North - East,,,7
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1834,super-area,24,30,East,1,,7
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Furnished,3,Family,Immediately,1880,super-area,1,19,East,2,,7
"2 BHK Flat  for Rent in Miyapur, NH 9, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1225,carpet-area,39,40,West,2,,8
"2 BHK Flat  for Rent in Kondapur, Hyderabad",,Furnished,2,Bachelors,Immediately,1400,carpet-area,6,7,East,1,,8
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1800,carpet-area,6,30,West,2,,8
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors/Family,Immediately,1450,carpet-area,24,39,East,2,,8
"3 BHK Flat  for Rent in Kondapur, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2000,super-area,10,19,East,2,,8
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1245,super-area,7,14,West,1,,8
"3 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2125,carpet-area,5,16,East,2,,8
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,2,Bachelors,Immediately,1283,super-area,18,33,East,1,,8
"1 BHK Flat  for Rent in Sri Ram Nagar Kondapur, Hyderabad",,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,2,6,North,1,,8
"2 BHK Flat  for Rent in Nalagandla, Hyderabad",,Semi-Furnished,2,Bachelors/Family,Immediately,1275,super-area,11,26,West,1,,9
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Semi-Furnished,3,Bachelors,Immediately,2300,super-area,19,24,North,2,,9
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,2,Family,Immediately,1498,super-area,18,33,East,3,,9
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",,Furnished,3,Bachelors/Family,Immediately,1670,super-area,3,3,East,3,,9
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Unfurnished,2,Family,Immediately,1314,super-area,26,30,East,1,,9
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",,Semi-Furnished,3,Family,Immediately,2550,super-area,Ground,19,North,1,,9
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",,Semi-Furnished,3,Family,Immediately,1535,super-area,15,20,East,1,,9
"4 BHK Flat  for Rent in Hitech City, Hyderabad",,Semi-Furnished,5,Bachelors/Family,Immediately,3100,carpet-area,4,12,North,2,,9
