BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
3.0,"Tellapur, Outer Ring Road",48000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1756.0,carpet-area,22.0,30.0,East,2.0,3
4.0,Madhapur,,Semi-Furnished,4.0,Family,Immediately,3300.0,carpet-area,9.0,15.0,West,2.0,3
4.0,Gachibowli,97500.0,Furnished,3.0,Bachelors,Immediately,1993.0,super-area,15.0,34.0,East,,3
3.0,Petbasheerabad,,,,Bachelors/Family,Immediately,,,,,,,3
3.0,Kondapur,75000.0,Furnished,3.0,Bachelors/Family,Immediately,1700.0,carpet-area,6.0,19.0,East,2.0,3
2.0,Mohan Nagar Kothapet,18000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1110.0,super-area,4.0,4.0,,,3
2.0,Nalagandla,45000.0,Unfurnished,2.0,Bachelors,Immediately,1345.0,super-area,12.0,22.0,East,1.0,3
2.0,Nacharam,18000.0,Unfurnished,2.0,Bachelors/Family,Immediately,826.0,carpet-area,4.0,4.0,,2.0,3
4.0,"Kokapet, Outer Ring Road",,Semi-Furnished,4.0,Bachelors,Immediately,2709.0,super-area,21.0,35.0,West,2.0,3
2.0,"Pragathi Nagar, Kukatpally",20000.0,Semi-Furnished,2.0,Bachelors,From Mar '26,1050.0,carpet-area,1.0,5.0,East,1.0,3
2.0,Masab Tank,18000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,North,,3
2.0,"Prajay City, Hafeezpet",6800.0,Unfurnished,1.0,Bachelors,Immediately,550.0,carpet-area,4.0,4.0,West,1.0,3
3.0,Asif Nagar,20000.0,Furnished,2.0,Bachelors,Immediately,1200.0,carpet-area,1.0,5.0,North,2.0,3
3.0,"Somajiguda, NH 9",40000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1550.0,super-area,1.0,7.0,,,3
3.0,"Kukatpally, NH 9",60000.0,Semi-Furnished,3.0,Bachelors,Immediately,1740.0,carpet-area,,,East,1.0,3
2.0,Gachibowli,46000.0,Semi-Furnished,2.0,Bachelors,Immediately,940.0,carpet-area,1.0,18.0,East,1.0,3
4.0,"Kokapet, Outer Ring Road",,Semi-Furnished,5.0,Bachelors/Family,Immediately,3400.0,super-area,13.0,15.0,,,3
4.0,Nalagandla,81999.0,Semi-Furnished,4.0,Bachelors,Immediately,2660.0,super-area,17.0,25.0,East,1.0,3
2.0,"Narsingi, Outer Ring Road",30000.0,Furnished,2.0,Bachelors,Immediately,960.0,carpet-area,2.0,5.0,West,1.0,3
3.0,"Narsingi, Outer Ring Road",48000.0,Semi-Furnished,3.0,Bachelors,From Apr '26,1695.0,super-area,12.0,12.0,West,2.0,3
,"Alkapur Township, Manikonda, Outer Ring Road",,,,Bachelors/Family,Immediately,,,,,,,3
2.0,Gajularamaram,18000.0,Semi-Furnished,2.0,Bachelors,Immediately,1050.0,super-area,1.0,5.0,West,2.0,3
2.0,"Bollaram, Outer Ring Road",15000.0,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,1185.0,super-area,4.0,6.0,,1.0,3
5.0,Jubilee Hills,70000.0,Unfurnished,5.0,Bachelors/Family,Immediately,3500.0,super-area,6.0,6.0,,,3
3.0,Patancheruvu,30000.0,Unfurnished,3.0,Bachelors/Family,Immediately,1585.0,super-area,11.0,14.0,,,3
2.0,"Viharika Colony, Peerzadiguda",12000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1117.0,carpet-area,3.0,5.0,East,1.0,3
3.0,Gunrock Enclave-Karimnagar Highway,30000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,1.0,2.0,,,4
