Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"3 BHK Flat  for Rent in Shaikpet, Hyderabad",3.0,Shaikpet,,Semi-Furnished,3,Bachelors/Family,Immediately,2100,carpet-area,15,24,North - East,3,10
"3 BHK Flat  for Rent in Izzathnagar, Hyderabad",3.0,Izzathnagar,,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,30,40,West,2,10
"3 BHK Flat  for Rent in Kakateeya Nagar, Secunderabad, Hyderabad",3.0,"Kakateeya Nagar, Secunderabad",2500.0,Semi-Furnished,3,Family,Immediately,2300,super-area,1,4,East,3,11
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,Bachelors,Immediately,1874,super-area,7,32,West,1,11
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",5000.0,Semi-Furnished,3,Bachelors,Immediately,1540,super-area,23,40,West,2,11
"2 BHK Flat  for Rent in Miyapur, NH 9, Hyderabad",2.0,"Miyapur, NH 9",4000.0,Unfurnished,2,Family,Immediately,1150,carpet-area,4,5,East,1,11
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,5500.0,Unfurnished,3,Bachelors,Immediately,1600,carpet-area,9,12,East,2,11
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,,Semi-Furnished,2,Bachelors/Family,Immediately,900,carpet-area,18,21,East,1,11
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,5000.0,Semi-Furnished,3,Family,Immediately,1950,carpet-area,8,14,East,2,11
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",8000.0,Semi-Furnished,3,Family,Immediately,1850,carpet-area,38,39,East,2,11
"5 BHK Flat  for Rent in Malakunta Financial District, Hyderabad",5.0,Malakunta Financial District,20000.0,Furnished,5,Bachelors/Family,Immediately,5000,carpet-area,9,25,East,3,11
"2 BHK Flat  for Rent in Whitefields, Hyderabad",2.0,Whitefields,3500.0,Unfurnished,2,Family,Immediately,1100,carpet-area,3,5,West,1,11
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,8000.0,Furnished,3,Bachelors,Immediately,1960,super-area,20,24,East,2,11
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,,Semi-Furnished,2,Bachelors,Immediately,1740,super-area,9,14,East,2,12
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,6200.0,Semi-Furnished,3,Bachelors,From Apr '26,1261,carpet-area,13,25,North,1,12
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,2000.0,Furnished,3,Bachelors/Family,Immediately,1600,carpet-area,5,5,North,2,12
"3 BHK Flat  for Rent in Khajaguda, Hyderabad",3.0,Khajaguda,,Semi-Furnished,3,Bachelors/Family,Immediately,2210,super-area,6,9,East,1,12
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Furnished,2,Bachelors/Family,Immediately,1350,carpet-area,3,7,East,1,12
"2 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",2.0,"Tellapur, Outer Ring Road",,Semi-Furnished,2,Family,Immediately,948,carpet-area,19,39,East,1,12
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,10000.0,Semi-Furnished,4,Bachelors,Immediately,2440,super-area,8,16,West,1,12
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Family,Immediately,1535,super-area,14,20,West,1,12
"4 BHK Flat  for Rent in Madhapur, Hyderabad",4.0,Madhapur,12000.0,Furnished,4,Bachelors,Immediately,2800,super-area,5,15,West,2,12
